,0BathroomWater,timestamp
36,PRESENT,2022-06-23 11:52:08.625000+02:00
37,NOT_PRESENT,2022-06-23 11:52:12.716000+02:00
38,PRESENT,2022-06-23 11:52:15.257000+02:00
39,NOT_PRESENT,2022-06-23 11:52:17.393000+02:00
0,PRESENT,2022-06-27 09:58:16.926000+02:00
1,NOT_PRESENT,2022-06-27 09:58:27.676000+02:00
2,PRESENT,2022-06-27 09:58:52.295000+02:00
3,NOT_PRESENT,2022-06-27 09:58:53.544000+02:00
0,PRESENT,2022-06-28 14:21:22.002000+02:00
1,NOT_PRESENT,2022-06-28 14:21:31.183000+02:00
2,PRESENT,2022-06-28 14:21:36.475000+02:00
3,NOT_PRESENT,2022-06-28 14:21:37.732000+02:00
4,PRESENT,2022-06-28 14:21:49.365000+02:00
5,NOT_PRESENT,2022-06-28 14:21:58.983000+02:00
6,PRESENT,2022-06-28 14:22:12.453000+02:00
7,NOT_PRESENT,2022-06-28 14:22:13.711000+02:00
8,PRESENT,2022-06-28 14:22:20.827000+02:00
9,NOT_PRESENT,2022-06-28 14:23:22.240000+02:00
0,PRESENT,2022-06-29 09:44:40.890000+02:00
1,NOT_PRESENT,2022-06-29 09:44:42.130000+02:00
2,PRESENT,2022-06-29 09:45:59.280000+02:00
3,NOT_PRESENT,2022-06-29 09:46:04.694000+02:00
4,PRESENT,2022-06-29 09:46:15.470000+02:00
5,NOT_PRESENT,2022-06-29 09:46:19.355000+02:00
6,PRESENT,2022-06-29 09:46:43.766000+02:00
7,NOT_PRESENT,2022-06-29 09:46:45+02:00
8,PRESENT,2022-06-29 09:46:56.181000+02:00
9,NOT_PRESENT,2022-06-29 09:46:57.411000+02:00
0,PRESENT,2022-07-11 10:45:24.296000+02:00
1,NOT_PRESENT,2022-07-11 11:33:30.943000+02:00
0,PRESENT,2022-07-16 14:37:44.807000+02:00
1,NOT_PRESENT,2022-07-16 15:34:03.695000+02:00
2,PRESENT,2022-07-16 17:04:11.044000+02:00
3,NOT_PRESENT,2022-07-16 19:00:02.553000+02:00
0,PRESENT,2022-07-17 01:18:00.608000+02:00
1,NOT_PRESENT,2022-07-17 01:18:16.252000+02:00
2,PRESENT,2022-07-17 01:18:20.411000+02:00
3,NOT_PRESENT,2022-07-17 01:18:31.536000+02:00
4,PRESENT,2022-07-17 01:19:06.446000+02:00
5,NOT_PRESENT,2022-07-17 01:19:26.885000+02:00
6,PRESENT,2022-07-17 01:19:32.727000+02:00
7,NOT_PRESENT,2022-07-17 01:19:34.851000+02:00
8,PRESENT,2022-07-17 01:19:37.431000+02:00
9,NOT_PRESENT,2022-07-17 01:19:41.774000+02:00
10,PRESENT,2022-07-17 01:19:47.675000+02:00
11,NOT_PRESENT,2022-07-17 01:19:57.144000+02:00
12,PRESENT,2022-07-17 01:20:00.994000+02:00
13,NOT_PRESENT,2022-07-17 01:20:04.438000+02:00
14,PRESENT,2022-07-17 01:20:13.251000+02:00
15,NOT_PRESENT,2022-07-17 01:20:17.168000+02:00
16,PRESENT,2022-07-17 01:20:34.356000+02:00
17,NOT_PRESENT,2022-07-17 01:20:35.603000+02:00
18,PRESENT,2022-07-17 01:21:04.205000+02:00
19,NOT_PRESENT,2022-07-17 01:21:05.452000+02:00
20,PRESENT,2022-07-17 01:21:20.122000+02:00
21,NOT_PRESENT,2022-07-17 01:21:22.907000+02:00
22,PRESENT,2022-07-17 01:21:28.494000+02:00
23,NOT_PRESENT,2022-07-17 01:21:29.744000+02:00
24,PRESENT,2022-07-17 01:21:43.957000+02:00
25,NOT_PRESENT,2022-07-17 01:21:45.204000+02:00
26,PRESENT,2022-07-17 01:21:52.581000+02:00
27,NOT_PRESENT,2022-07-17 01:21:53.829000+02:00
28,PRESENT,2022-07-17 01:22:33.355000+02:00
29,NOT_PRESENT,2022-07-17 01:22:34.605000+02:00
30,PRESENT,2022-07-17 01:22:43.484000+02:00
31,NOT_PRESENT,2022-07-17 01:22:44.732000+02:00
0,PRESENT,2022-08-01 10:10:00.495000+02:00
1,NOT_PRESENT,2022-08-01 10:11:15.643000+02:00
0,PRESENT,2022-08-01 22:55:53.899000+02:00
1,NOT_PRESENT,2022-08-01 23:29:02.071000+02:00
2,PRESENT,2022-08-02 08:59:23.205000+02:00
3,NOT_PRESENT,2022-08-02 08:59:24.438000+02:00
4,PRESENT,2022-08-02 08:59:28.164000+02:00
5,NOT_PRESENT,2022-08-02 08:59:29.401000+02:00
6,PRESENT,2022-08-02 08:59:44.882000+02:00
7,NOT_PRESENT,2022-08-02 08:59:46.111000+02:00
8,PRESENT,2022-08-02 08:59:52.298000+02:00
9,NOT_PRESENT,2022-08-02 08:59:55.943000+02:00
10,PRESENT,2022-08-02 08:59:58.601000+02:00
11,NOT_PRESENT,2022-08-02 09:00:04.467000+02:00
12,PRESENT,2022-08-02 09:00:06.258000+02:00
13,NOT_PRESENT,2022-08-02 09:00:09.251000+02:00
14,PRESENT,2022-08-02 09:00:17.780000+02:00
15,NOT_PRESENT,2022-08-02 09:00:19.020000+02:00
16,PRESENT,2022-08-02 09:00:27.270000+02:00
17,NOT_PRESENT,2022-08-02 09:00:28.502000+02:00
18,PRESENT,2022-08-02 09:00:42.502000+02:00
19,NOT_PRESENT,2022-08-02 09:00:45.029000+02:00
20,PRESENT,2022-08-02 09:00:46.718000+02:00
21,NOT_PRESENT,2022-08-02 09:00:48.829000+02:00
22,PRESENT,2022-08-02 09:01:27.949000+02:00
23,NOT_PRESENT,2022-08-02 09:02:04.938000+02:00
24,PRESENT,2022-08-02 09:02:19.326000+02:00
25,NOT_PRESENT,2022-08-02 09:02:21.841000+02:00
26,PRESENT,2022-08-02 09:02:25.703000+02:00
27,NOT_PRESENT,2022-08-02 09:02:26.940000+02:00
28,PRESENT,2022-08-02 09:02:38.682000+02:00
29,NOT_PRESENT,2022-08-02 09:02:39.918000+02:00
30,PRESENT,2022-08-02 09:02:42.421000+02:00
31,NOT_PRESENT,2022-08-02 09:03:00.663000+02:00
32,PRESENT,2022-08-02 09:03:02.360000+02:00
33,NOT_PRESENT,2022-08-02 09:03:07.303000+02:00
34,PRESENT,2022-08-02 09:03:16.992000+02:00
35,NOT_PRESENT,2022-08-02 09:03:18.225000+02:00
36,PRESENT,2022-08-02 09:03:20.779000+02:00
37,NOT_PRESENT,2022-08-02 09:03:22.016000+02:00
38,PRESENT,2022-08-02 09:03:25.166000+02:00
39,NOT_PRESENT,2022-08-02 09:03:30.104000+02:00
40,PRESENT,2022-08-02 09:03:32.658000+02:00
41,NOT_PRESENT,2022-08-02 09:03:33.895000+02:00
42,PRESENT,2022-08-02 09:03:46.226000+02:00
43,NOT_PRESENT,2022-08-02 09:03:47.461000+02:00
0,PRESENT,2022-08-04 09:38:30.682000+02:00
1,NOT_PRESENT,2022-08-04 09:38:31.930000+02:00
2,PRESENT,2022-08-04 09:38:46.619000+02:00
3,NOT_PRESENT,2022-08-04 09:38:47.869000+02:00
4,PRESENT,2022-08-04 09:38:52.885000+02:00
5,NOT_PRESENT,2022-08-04 09:38:54.127000+02:00
6,PRESENT,2022-08-04 09:39:06.120000+02:00
7,NOT_PRESENT,2022-08-04 09:39:07.366000+02:00
8,PRESENT,2022-08-04 09:39:16.899000+02:00
9,NOT_PRESENT,2022-08-04 09:39:20.128000+02:00
10,PRESENT,2022-08-04 09:39:21.939000+02:00
11,NOT_PRESENT,2022-08-04 09:39:23.191000+02:00
12,PRESENT,2022-08-04 09:39:40.827000+02:00
13,NOT_PRESENT,2022-08-04 09:39:42.075000+02:00
14,PRESENT,2022-08-04 09:39:50.025000+02:00
15,NOT_PRESENT,2022-08-04 09:39:51.276000+02:00
16,PRESENT,2022-08-04 09:40:33.097000+02:00
17,NOT_PRESENT,2022-08-04 09:41:13.685000+02:00
18,PRESENT,2022-08-04 09:41:28.535000+02:00
19,NOT_PRESENT,2022-08-04 09:41:31.087000+02:00
20,PRESENT,2022-08-04 09:41:41.718000+02:00
21,NOT_PRESENT,2022-08-04 09:41:42.965000+02:00
22,PRESENT,2022-08-04 09:42:22.537000+02:00
23,NOT_PRESENT,2022-08-04 09:42:23.780000+02:00
24,PRESENT,2022-08-04 09:42:25.489000+02:00
25,NOT_PRESENT,2022-08-04 09:42:27.385000+02:00
26,PRESENT,2022-08-04 09:42:29.090000+02:00
27,NOT_PRESENT,2022-08-04 09:42:36.104000+02:00
28,PRESENT,2022-08-04 09:42:39.306000+02:00
29,NOT_PRESENT,2022-08-04 09:42:46.560000+02:00
30,PRESENT,2022-08-04 09:43:10.036000+02:00
31,NOT_PRESENT,2022-08-04 09:43:11.290000+02:00
32,PRESENT,2022-08-04 09:43:31.389000+02:00
33,NOT_PRESENT,2022-08-04 09:43:32.644000+02:00
0,PRESENT,2022-08-05 06:56:11.623000+02:00
1,NOT_PRESENT,2022-08-05 06:56:12.864000+02:00
2,PRESENT,2022-08-05 06:56:20.913000+02:00
3,NOT_PRESENT,2022-08-05 06:56:22.164000+02:00
4,PRESENT,2022-08-05 06:56:36.752000+02:00
5,NOT_PRESENT,2022-08-05 06:56:37.998000+02:00
6,PRESENT,2022-08-05 06:56:56.729000+02:00
7,NOT_PRESENT,2022-08-05 06:56:57.975000+02:00
8,PRESENT,2022-08-05 06:57:10.635000+02:00
9,NOT_PRESENT,2022-08-05 06:57:11.880000+02:00
10,PRESENT,2022-08-05 06:57:16.707000+02:00
11,NOT_PRESENT,2022-08-05 06:57:17.957000+02:00
12,PRESENT,2022-08-05 06:57:55.176000+02:00
13,NOT_PRESENT,2022-08-05 06:58:23.637000+02:00
14,PRESENT,2022-08-05 06:58:36.888000+02:00
15,NOT_PRESENT,2022-08-05 06:58:38.139000+02:00
16,PRESENT,2022-08-05 06:58:46.282000+02:00
17,NOT_PRESENT,2022-08-05 06:58:48.408000+02:00
18,PRESENT,2022-08-05 06:59:50.012000+02:00
19,NOT_PRESENT,2022-08-05 07:00:00.762000+02:00
20,PRESENT,2022-08-05 07:00:22.847000+02:00
21,NOT_PRESENT,2022-08-05 07:00:26.771000+02:00
22,PRESENT,2022-08-05 07:00:49.196000+02:00
23,NOT_PRESENT,2022-08-05 07:00:50.446000+02:00
0,PRESENT,2022-08-08 09:16:29.867000+02:00
1,NOT_PRESENT,2022-08-08 09:16:34.238000+02:00
2,PRESENT,2022-08-08 09:16:43.677000+02:00
3,NOT_PRESENT,2022-08-08 09:16:44.922000+02:00
4,PRESENT,2022-08-08 09:16:50.865000+02:00
5,NOT_PRESENT,2022-08-08 09:16:52.116000+02:00
0,PRESENT,2022-08-12 01:44:56.180000+02:00
1,NOT_PRESENT,2022-08-12 02:15:03.090000+02:00
0,PRESENT,2022-08-15 09:16:29.206000+02:00
1,NOT_PRESENT,2022-08-15 09:16:30.435000+02:00
2,PRESENT,2022-08-15 09:16:46.391000+02:00
3,NOT_PRESENT,2022-08-15 09:16:51.356000+02:00
4,PRESENT,2022-08-15 09:17:06.189000+02:00
5,NOT_PRESENT,2022-08-15 09:17:07.427000+02:00
6,PRESENT,2022-08-15 09:17:09.217000+02:00
7,NOT_PRESENT,2022-08-15 09:17:12.861000+02:00
8,PRESENT,2022-08-15 09:17:16.593000+02:00
9,NOT_PRESENT,2022-08-15 09:17:17.821000+02:00
10,PRESENT,2022-08-15 09:18:04.825000+02:00
11,NOT_PRESENT,2022-08-15 09:18:14.167000+02:00
12,PRESENT,2022-08-15 09:18:18.438000+02:00
13,NOT_PRESENT,2022-08-15 09:18:20.205000+02:00
14,PRESENT,2022-08-15 09:18:23.405000+02:00
15,NOT_PRESENT,2022-08-15 09:18:25.197000+02:00
16,PRESENT,2022-08-15 09:18:31.009000+02:00
17,NOT_PRESENT,2022-08-15 09:18:32.240000+02:00
18,PRESENT,2022-08-15 09:18:49.849000+02:00
19,NOT_PRESENT,2022-08-15 09:18:51.081000+02:00
20,PRESENT,2022-08-15 09:18:57.548000+02:00
21,NOT_PRESENT,2022-08-15 09:18:58.783000+02:00
22,PRESENT,2022-08-15 09:19:05.139000+02:00
23,NOT_PRESENT,2022-08-15 09:19:06.368000+02:00
24,PRESENT,2022-08-15 09:19:17.119000+02:00
25,NOT_PRESENT,2022-08-15 09:19:18.349000+02:00
26,PRESENT,2022-08-15 09:19:25.027000+02:00
27,NOT_PRESENT,2022-08-15 09:19:26.257000+02:00
28,PRESENT,2022-08-15 09:20:10.348000+02:00
29,NOT_PRESENT,2022-08-15 09:20:11.579000+02:00
30,PRESENT,2022-08-15 09:21:49.111000+02:00
31,NOT_PRESENT,2022-08-15 09:21:50.975000+02:00
0,PRESENT,2022-08-17 09:02:12.207000+02:00
1,NOT_PRESENT,2022-08-17 09:02:17.677000+02:00
2,PRESENT,2022-08-17 09:02:25.714000+02:00
3,NOT_PRESENT,2022-08-17 09:02:27.836000+02:00
4,PRESENT,2022-08-17 09:04:04.409000+02:00
5,NOT_PRESENT,2022-08-17 09:04:22.166000+02:00
6,PRESENT,2022-08-17 09:04:25.841000+02:00
7,NOT_PRESENT,2022-08-17 09:04:27.081000+02:00
8,PRESENT,2022-08-17 09:05:16.246000+02:00
9,NOT_PRESENT,2022-08-17 09:05:24.361000+02:00
10,PRESENT,2022-08-17 09:05:28.497000+02:00
11,NOT_PRESENT,2022-08-17 09:05:29.743000+02:00
12,PRESENT,2022-08-17 09:05:32.319000+02:00
13,NOT_PRESENT,2022-08-17 09:05:35.330000+02:00
14,PRESENT,2022-08-17 09:05:41.012000+02:00
15,NOT_PRESENT,2022-08-17 09:05:42.254000+02:00
16,PRESENT,2022-08-17 09:05:46.518000+02:00
17,NOT_PRESENT,2022-08-17 09:05:47.762000+02:00
18,PRESENT,2022-08-17 09:06:10.435000+02:00
19,NOT_PRESENT,2022-08-17 09:06:12.559000+02:00
20,PRESENT,2022-08-17 09:06:43.151000+02:00
21,NOT_PRESENT,2022-08-17 09:06:44.391000+02:00
22,PRESENT,2022-08-17 09:07:18.200000+02:00
23,NOT_PRESENT,2022-08-17 09:07:19.443000+02:00
24,PRESENT,2022-08-17 09:07:52.987000+02:00
25,NOT_PRESENT,2022-08-17 09:07:54.227000+02:00
0,PRESENT,2022-08-26 07:39:22.448000+02:00
1,NOT_PRESENT,2022-08-26 07:39:23.665000+02:00
2,PRESENT,2022-08-26 07:39:36.038000+02:00
3,NOT_PRESENT,2022-08-26 07:39:37.268000+02:00
4,PRESENT,2022-08-26 07:43:03.051000+02:00
5,NOT_PRESENT,2022-08-26 07:43:05.179000+02:00
6,PRESENT,2022-08-26 07:43:09.441000+02:00
7,NOT_PRESENT,2022-08-26 07:43:26.005000+02:00
8,PRESENT,2022-08-26 07:43:34.977000+02:00
9,NOT_PRESENT,2022-08-26 07:43:36.221000+02:00
10,PRESENT,2022-08-26 07:43:39.571000+02:00
11,NOT_PRESENT,2022-08-26 07:43:41.707000+02:00
12,PRESENT,2022-08-26 07:44:06.633000+02:00
13,NOT_PRESENT,2022-08-26 07:44:07.884000+02:00
14,PRESENT,2022-08-26 07:45:50.050000+02:00
15,NOT_PRESENT,2022-08-26 07:45:51.932000+02:00
0,PRESENT,2022-08-30 14:38:14.658000+02:00
1,NOT_PRESENT,2022-08-30 14:38:15.883000+02:00
