,2OfficeDoor,timestamp
0,PRESENT,2022-01-07 21:58:08.629000+01:00
1,NOT_PRESENT,2022-01-07 22:24:47.419000+01:00
2,PRESENT,2022-01-07 22:26:23.162000+01:00
3,NOT_PRESENT,2022-01-07 23:22:35.487000+01:00
4,PRESENT,2022-01-07 23:26:15.954000+01:00
5,NOT_PRESENT,2022-01-08 00:44:08.192000+01:00
6,PRESENT,2022-01-08 00:44:29.074000+01:00
7,NOT_PRESENT,2022-01-08 00:45:22.408000+01:00
8,PRESENT,2022-01-08 00:45:38.660000+01:00
9,NOT_PRESENT,2022-01-08 08:45:58.565000+01:00
10,PRESENT,2022-01-08 18:37:52.894000+01:00
11,NOT_PRESENT,2022-01-08 18:57:14.254000+01:00
12,PRESENT,2022-01-08 18:57:21.655000+01:00
13,NOT_PRESENT,2022-01-08 21:03:59.759000+01:00
14,PRESENT,2022-01-08 21:04:05.185000+01:00
15,NOT_PRESENT,2022-01-09 08:09:34.334000+01:00
16,PRESENT,2022-01-09 08:51:59.913000+01:00
17,NOT_PRESENT,2022-01-09 10:01:33.314000+01:00
18,PRESENT,2022-01-10 11:11:14.729000+01:00
19,NOT_PRESENT,2022-01-10 15:51:44.577000+01:00
20,PRESENT,2022-01-10 15:51:54.617000+01:00
21,NOT_PRESENT,2022-01-10 15:55:05.329000+01:00
22,PRESENT,2022-01-10 15:55:12.011000+01:00
23,NOT_PRESENT,2022-01-10 16:51:50.913000+01:00
24,PRESENT,2022-01-11 12:28:37.204000+01:00
25,NOT_PRESENT,2022-01-11 12:32:54.214000+01:00
26,PRESENT,2022-01-11 12:42:36.350000+01:00
27,NOT_PRESENT,2022-01-11 13:22:17.889000+01:00
28,PRESENT,2022-01-11 13:22:22.763000+01:00
29,NOT_PRESENT,2022-01-11 13:29:30.786000+01:00
30,PRESENT,2022-01-11 15:10:54.683000+01:00
31,NOT_PRESENT,2022-01-11 15:46:28.323000+01:00
32,PRESENT,2022-01-11 18:49:47.895000+01:00
33,NOT_PRESENT,2022-01-11 19:11:08.785000+01:00
34,PRESENT,2022-01-13 22:54:29.080000+01:00
35,NOT_PRESENT,2022-01-14 00:29:00.969000+01:00
36,PRESENT,2022-01-15 11:35:57.261000+01:00
37,NOT_PRESENT,2022-01-15 11:44:33.681000+01:00
38,PRESENT,2022-01-15 13:17:06.002000+01:00
39,NOT_PRESENT,2022-01-15 13:17:40.127000+01:00
40,PRESENT,2022-01-15 13:32:47.712000+01:00
41,NOT_PRESENT,2022-01-15 14:11:24.263000+01:00
42,PRESENT,2022-01-15 14:11:37.208000+01:00
43,NOT_PRESENT,2022-01-15 14:11:52.393000+01:00
44,PRESENT,2022-01-15 14:14:20.795000+01:00
45,NOT_PRESENT,2022-01-15 14:49:05.466000+01:00
46,PRESENT,2022-01-15 14:49:27.614000+01:00
47,NOT_PRESENT,2022-01-15 15:30:36.847000+01:00
48,PRESENT,2022-01-15 15:31:40.493000+01:00
49,NOT_PRESENT,2022-01-15 15:32:52.531000+01:00
50,PRESENT,2022-01-15 15:41:36.173000+01:00
51,NOT_PRESENT,2022-01-15 15:59:42.259000+01:00
52,PRESENT,2022-01-15 16:01:20.150000+01:00
53,NOT_PRESENT,2022-01-15 16:02:36.828000+01:00
54,PRESENT,2022-01-15 16:04:13.380000+01:00
55,NOT_PRESENT,2022-01-15 16:04:43.886000+01:00
56,PRESENT,2022-01-15 16:04:56.667000+01:00
57,NOT_PRESENT,2022-01-15 16:44:22.394000+01:00
58,PRESENT,2022-01-16 12:34:13.202000+01:00
59,NOT_PRESENT,2022-01-16 13:39:01.759000+01:00
60,PRESENT,2022-01-17 08:52:11.516000+01:00
61,NOT_PRESENT,2022-01-17 10:04:21.291000+01:00
62,PRESENT,2022-01-17 15:43:11.097000+01:00
63,NOT_PRESENT,2022-01-17 16:08:56.118000+01:00
64,PRESENT,2022-01-17 17:17:30.659000+01:00
65,NOT_PRESENT,2022-01-17 19:02:55.060000+01:00
66,PRESENT,2022-01-18 00:50:35.852000+01:00
67,NOT_PRESENT,2022-01-18 07:31:08.961000+01:00
68,PRESENT,2022-01-19 12:58:17.993000+01:00
69,NOT_PRESENT,2022-01-19 13:50:53.699000+01:00
70,PRESENT,2022-01-19 14:37:32.395000+01:00
71,NOT_PRESENT,2022-01-19 15:21:30.913000+01:00
72,PRESENT,2022-01-19 15:53:11.295000+01:00
73,NOT_PRESENT,2022-01-19 16:04:00.191000+01:00
74,PRESENT,2022-01-19 16:04:04.967000+01:00
75,NOT_PRESENT,2022-01-19 17:02:06.921000+01:00
76,PRESENT,2022-01-19 18:18:42.336000+01:00
77,NOT_PRESENT,2022-01-20 08:00:36.158000+01:00
78,PRESENT,2022-01-20 09:01:16.367000+01:00
79,NOT_PRESENT,2022-01-20 09:14:12.717000+01:00
80,PRESENT,2022-01-20 12:47:48.177000+01:00
81,NOT_PRESENT,2022-01-20 17:43:35.339000+01:00
82,PRESENT,2022-01-20 17:43:43.376000+01:00
83,NOT_PRESENT,2022-01-20 17:43:52.090000+01:00
84,PRESENT,2022-01-21 12:12:36.376000+01:00
85,NOT_PRESENT,2022-01-21 13:05:31.519000+01:00
86,PRESENT,2022-01-21 16:02:25.444000+01:00
87,NOT_PRESENT,2022-01-21 23:33:19.322000+01:00
88,PRESENT,2022-01-21 23:33:49.918000+01:00
89,NOT_PRESENT,2022-01-22 02:35:29.108000+01:00
90,PRESENT,2022-01-22 02:36:12.629000+01:00
91,NOT_PRESENT,2022-01-22 11:56:05.231000+01:00
92,PRESENT,2022-01-22 12:24:54.821000+01:00
93,NOT_PRESENT,2022-01-22 17:08:23.528000+01:00
94,PRESENT,2022-01-23 02:08:54.595000+01:00
95,NOT_PRESENT,2022-01-23 09:24:19.290000+01:00
96,PRESENT,2022-01-23 13:13:43.530000+01:00
97,NOT_PRESENT,2022-01-23 17:29:31.503000+01:00
98,PRESENT,2022-01-25 01:51:38.148000+01:00
99,NOT_PRESENT,2022-01-25 07:45:20.779000+01:00
100,PRESENT,2022-01-25 09:16:42.161000+01:00
101,NOT_PRESENT,2022-01-25 09:16:43.780000+01:00
102,PRESENT,2022-01-25 09:41:08.595000+01:00
103,NOT_PRESENT,2022-01-25 09:41:14.692000+01:00
104,PRESENT,2022-01-25 11:02:22.621000+01:00
105,NOT_PRESENT,2022-01-25 11:46:06.293000+01:00
106,PRESENT,2022-01-25 11:46:11.163000+01:00
107,NOT_PRESENT,2022-01-25 11:50:48.246000+01:00
108,PRESENT,2022-01-25 11:50:52.460000+01:00
109,NOT_PRESENT,2022-01-25 11:53:08.827000+01:00
110,PRESENT,2022-01-25 11:53:13.715000+01:00
111,NOT_PRESENT,2022-01-25 11:53:36.614000+01:00
112,PRESENT,2022-01-25 12:01:54.764000+01:00
113,NOT_PRESENT,2022-01-25 12:02:06.852000+01:00
114,PRESENT,2022-01-25 12:02:10.445000+01:00
115,NOT_PRESENT,2022-01-25 12:05:03.518000+01:00
116,PRESENT,2022-01-25 12:20:36.071000+01:00
117,NOT_PRESENT,2022-01-25 12:20:37.710000+01:00
118,PRESENT,2022-01-25 12:20:45.734000+01:00
119,NOT_PRESENT,2022-01-25 12:20:49.546000+01:00
120,PRESENT,2022-01-25 13:37:42.044000+01:00
121,NOT_PRESENT,2022-01-25 14:00:45.163000+01:00
122,PRESENT,2022-01-25 14:42:12.534000+01:00
123,NOT_PRESENT,2022-01-25 14:50:53.967000+01:00
124,PRESENT,2022-01-25 15:55:40.188000+01:00
125,NOT_PRESENT,2022-01-25 16:09:24.244000+01:00
126,PRESENT,2022-01-25 16:09:29.029000+01:00
127,NOT_PRESENT,2022-01-25 16:20:40.933000+01:00
128,PRESENT,2022-01-25 16:20:45.714000+01:00
129,NOT_PRESENT,2022-01-25 16:25:15.432000+01:00
130,PRESENT,2022-01-25 16:32:54.794000+01:00
131,NOT_PRESENT,2022-01-25 16:34:55+01:00
132,PRESENT,2022-01-25 16:34:58.510000+01:00
133,NOT_PRESENT,2022-01-25 16:47:58.733000+01:00
134,PRESENT,2022-01-25 16:48:06.138000+01:00
135,NOT_PRESENT,2022-01-25 16:49:49.733000+01:00
136,PRESENT,2022-01-25 18:06:13.557000+01:00
137,NOT_PRESENT,2022-01-25 18:18:30.167000+01:00
138,PRESENT,2022-01-25 18:19:10.524000+01:00
139,NOT_PRESENT,2022-01-25 18:58:25.070000+01:00
140,PRESENT,2022-01-25 18:58:29.204000+01:00
141,NOT_PRESENT,2022-01-26 07:16:17.782000+01:00
142,PRESENT,2022-01-26 07:16:46.364000+01:00
143,NOT_PRESENT,2022-01-26 07:37:54.568000+01:00
144,PRESENT,2022-01-26 10:53:50.978000+01:00
145,NOT_PRESENT,2022-01-26 10:53:52.596000+01:00
146,PRESENT,2022-01-26 10:54:06.017000+01:00
147,NOT_PRESENT,2022-01-26 11:16:24.227000+01:00
148,PRESENT,2022-01-26 18:48:22.973000+01:00
149,NOT_PRESENT,2022-01-26 19:03:51.808000+01:00
150,PRESENT,2022-01-27 01:42:00.136000+01:00
151,NOT_PRESENT,2022-01-27 08:06:08.278000+01:00
152,PRESENT,2022-01-27 10:42:54.613000+01:00
153,NOT_PRESENT,2022-01-27 10:43:08.604000+01:00
154,PRESENT,2022-01-28 18:35:45.737000+01:00
155,NOT_PRESENT,2022-01-28 20:58:20.865000+01:00
156,PRESENT,2022-01-28 20:58:30.237000+01:00
157,NOT_PRESENT,2022-01-28 21:20:33.082000+01:00
158,PRESENT,2022-01-28 23:20:46.611000+01:00
159,NOT_PRESENT,2022-01-29 09:52:45.221000+01:00
160,PRESENT,2022-01-29 13:50:55.743000+01:00
161,NOT_PRESENT,2022-01-29 19:26:55.151000+01:00
162,PRESENT,2022-01-29 22:51:28.248000+01:00
163,NOT_PRESENT,2022-01-30 11:16:45.619000+01:00
164,PRESENT,2022-01-30 11:16:56.962000+01:00
165,NOT_PRESENT,2022-01-30 12:23:07.689000+01:00
166,PRESENT,2022-01-30 12:43:25.786000+01:00
167,NOT_PRESENT,2022-01-30 13:11:58.442000+01:00
168,PRESENT,2022-01-30 13:32:03.897000+01:00
169,NOT_PRESENT,2022-01-30 13:35:58.666000+01:00
170,PRESENT,2022-01-30 13:36:10.025000+01:00
171,NOT_PRESENT,2022-01-30 13:36:11.649000+01:00
172,PRESENT,2022-01-31 08:36:07.439000+01:00
173,NOT_PRESENT,2022-01-31 10:45:52.503000+01:00
174,PRESENT,2022-01-31 15:53:34.545000+01:00
175,NOT_PRESENT,2022-01-31 16:25:42.852000+01:00
176,PRESENT,2022-01-31 18:48:03.078000+01:00
177,NOT_PRESENT,2022-01-31 20:18:30.361000+01:00
178,PRESENT,2022-02-01 01:19:32.564000+01:00
179,NOT_PRESENT,2022-02-01 08:04:57.122000+01:00
180,PRESENT,2022-02-01 09:59:28.536000+01:00
181,NOT_PRESENT,2022-02-01 10:00:50.646000+01:00
182,PRESENT,2022-02-01 10:01:02.698000+01:00
183,NOT_PRESENT,2022-02-01 10:35:11.083000+01:00
184,PRESENT,2022-02-01 10:35:14.648000+01:00
185,NOT_PRESENT,2022-02-01 12:25:40.631000+01:00
186,PRESENT,2022-02-01 12:25:50.603000+01:00
187,NOT_PRESENT,2022-02-01 12:40:00.996000+01:00
188,PRESENT,2022-02-01 21:04:11.004000+01:00
189,NOT_PRESENT,2022-02-02 07:31:54.238000+01:00
190,PRESENT,2022-02-02 07:32:00.425000+01:00
191,NOT_PRESENT,2022-02-02 09:57:27.015000+01:00
192,PRESENT,2022-02-02 09:57:33.758000+01:00
193,NOT_PRESENT,2022-02-02 11:08:40.264000+01:00
194,PRESENT,2022-02-02 15:34:11.182000+01:00
195,NOT_PRESENT,2022-02-02 15:34:30.037000+01:00
196,PRESENT,2022-02-02 15:40:39.668000+01:00
197,NOT_PRESENT,2022-02-02 16:04:32.671000+01:00
198,PRESENT,2022-02-02 16:04:37.499000+01:00
199,NOT_PRESENT,2022-02-02 18:22:25.574000+01:00
200,PRESENT,2022-02-03 09:13:41.318000+01:00
201,NOT_PRESENT,2022-02-03 09:20:40.885000+01:00
202,PRESENT,2022-02-03 09:20:49.070000+01:00
203,NOT_PRESENT,2022-02-03 09:55:38.819000+01:00
204,PRESENT,2022-02-03 09:55:43.725000+01:00
205,NOT_PRESENT,2022-02-03 10:00:40.280000+01:00
206,PRESENT,2022-02-03 10:15:05.863000+01:00
207,NOT_PRESENT,2022-02-03 10:15:22.030000+01:00
208,PRESENT,2022-02-03 10:24:54.904000+01:00
209,NOT_PRESENT,2022-02-03 11:07:11.040000+01:00
210,PRESENT,2022-02-03 13:56:13.288000+01:00
211,NOT_PRESENT,2022-02-03 13:59:03.898000+01:00
212,PRESENT,2022-02-03 15:30:55.350000+01:00
213,NOT_PRESENT,2022-02-04 10:21:34.661000+01:00
214,PRESENT,2022-02-04 13:31:45.389000+01:00
215,NOT_PRESENT,2022-02-04 13:32:21.804000+01:00
216,PRESENT,2022-02-05 12:06:36.084000+01:00
217,NOT_PRESENT,2022-02-05 20:06:21.293000+01:00
218,PRESENT,2022-02-06 11:02:11.844000+01:00
219,NOT_PRESENT,2022-02-06 11:43:16.557000+01:00
220,PRESENT,2022-02-06 11:50:33.088000+01:00
221,NOT_PRESENT,2022-02-06 14:13:05.806000+01:00
222,PRESENT,2022-02-06 19:13:26.896000+01:00
223,NOT_PRESENT,2022-02-07 05:17:01.026000+01:00
224,PRESENT,2022-02-07 05:18:10.642000+01:00
225,NOT_PRESENT,2022-02-07 10:59:56.098000+01:00
226,PRESENT,2022-02-07 11:04:21.306000+01:00
227,NOT_PRESENT,2022-02-07 12:34:38.939000+01:00
0,NOT_PRESENT,2022-02-08 08:52:58.301000+01:00
1,PRESENT,2022-02-08 15:15:18.203000+01:00
2,NOT_PRESENT,2022-02-08 15:15:28.682000+01:00
0,PRESENT,2022-02-08 21:00:25.554000+01:00
1,NOT_PRESENT,2022-02-09 00:11:50.202000+01:00
2,PRESENT,2022-02-09 10:58:41.007000+01:00
3,NOT_PRESENT,2022-02-09 18:24:09.894000+01:00
0,PRESENT,2022-02-09 23:43:05.712000+01:00
1,NOT_PRESENT,2022-02-10 00:09:12.977000+01:00
2,PRESENT,2022-02-10 14:06:24.442000+01:00
3,NOT_PRESENT,2022-02-10 14:09:32.435000+01:00
4,PRESENT,2022-02-10 14:09:48.455000+01:00
5,NOT_PRESENT,2022-02-10 14:27:43.049000+01:00
6,PRESENT,2022-02-10 14:31:24.313000+01:00
7,NOT_PRESENT,2022-02-10 14:31:50.761000+01:00
8,PRESENT,2022-02-10 14:32:48.984000+01:00
9,NOT_PRESENT,2022-02-10 14:34:42.576000+01:00
10,PRESENT,2022-02-10 14:46:04.278000+01:00
11,NOT_PRESENT,2022-02-10 14:50:14.328000+01:00
12,PRESENT,2022-02-10 19:04:48.714000+01:00
0,NOT_PRESENT,2022-02-10 20:49:25.984000+01:00
1,PRESENT,2022-02-10 20:51:56.493000+01:00
2,NOT_PRESENT,2022-02-10 21:02:58.942000+01:00
3,PRESENT,2022-02-10 21:55:21.299000+01:00
4,NOT_PRESENT,2022-02-10 22:07:05.393000+01:00
5,PRESENT,2022-02-11 09:03:03.801000+01:00
6,NOT_PRESENT,2022-02-11 09:10:17.218000+01:00
7,PRESENT,2022-02-11 09:15:22.483000+01:00
8,NOT_PRESENT,2022-02-11 09:32:11.062000+01:00
9,PRESENT,2022-02-11 11:36:47.083000+01:00
10,NOT_PRESENT,2022-02-11 12:05:20.217000+01:00
0,PRESENT,2022-02-12 10:51:12.191000+01:00
1,NOT_PRESENT,2022-02-12 10:55:32.686000+01:00
2,PRESENT,2022-02-12 10:55:37.478000+01:00
3,NOT_PRESENT,2022-02-12 11:00:03.978000+01:00
4,PRESENT,2022-02-12 11:34:21.478000+01:00
5,NOT_PRESENT,2022-02-12 15:19:03.570000+01:00
6,PRESENT,2022-02-12 15:25:50.100000+01:00
7,NOT_PRESENT,2022-02-12 15:26:30.827000+01:00
8,PRESENT,2022-02-12 15:27:39.002000+01:00
9,NOT_PRESENT,2022-02-12 15:27:53.552000+01:00
10,PRESENT,2022-02-12 15:45:16.622000+01:00
11,NOT_PRESENT,2022-02-12 15:45:32.512000+01:00
12,PRESENT,2022-02-12 15:45:49.326000+01:00
13,NOT_PRESENT,2022-02-12 15:49:33.548000+01:00
14,PRESENT,2022-02-12 16:03:34.378000+01:00
15,NOT_PRESENT,2022-02-12 16:48:49.084000+01:00
16,PRESENT,2022-02-12 16:49:07.149000+01:00
17,NOT_PRESENT,2022-02-12 18:37:52.977000+01:00
0,PRESENT,2022-02-12 23:07:51.145000+01:00
1,NOT_PRESENT,2022-02-12 23:13:08.624000+01:00
2,PRESENT,2022-02-13 08:03:37.730000+01:00
3,NOT_PRESENT,2022-02-13 09:39:32.303000+01:00
4,PRESENT,2022-02-13 09:40:13.755000+01:00
5,NOT_PRESENT,2022-02-13 09:53:07.644000+01:00
6,PRESENT,2022-02-13 10:00:32.222000+01:00
7,NOT_PRESENT,2022-02-13 10:00:45.619000+01:00
8,PRESENT,2022-02-13 12:37:03.592000+01:00
9,NOT_PRESENT,2022-02-13 12:37:39.668000+01:00
0,PRESENT,2022-02-14 16:36:32.431000+01:00
1,NOT_PRESENT,2022-02-14 17:28:33.001000+01:00
0,PRESENT,2022-02-14 21:34:53.560000+01:00
1,NOT_PRESENT,2022-02-14 22:36:27.387000+01:00
2,PRESENT,2022-02-15 00:02:49.409000+01:00
3,NOT_PRESENT,2022-02-15 08:15:00.420000+01:00
4,PRESENT,2022-02-15 08:15:25.748000+01:00
5,NOT_PRESENT,2022-02-15 14:52:13.935000+01:00
6,PRESENT,2022-02-15 14:52:28.200000+01:00
0,NOT_PRESENT,2022-02-15 21:04:59.599000+01:00
1,PRESENT,2022-02-15 21:05:09.641000+01:00
2,NOT_PRESENT,2022-02-15 21:05:28.365000+01:00
3,PRESENT,2022-02-15 21:05:45.806000+01:00
4,NOT_PRESENT,2022-02-15 22:05:00.077000+01:00
5,PRESENT,2022-02-15 22:05:23.933000+01:00
6,NOT_PRESENT,2022-02-15 22:55:07.536000+01:00
7,PRESENT,2022-02-15 22:55:30.700000+01:00
8,NOT_PRESENT,2022-02-16 08:45:42.054000+01:00
9,PRESENT,2022-02-16 08:45:43.680000+01:00
10,NOT_PRESENT,2022-02-16 09:00:54.252000+01:00
11,PRESENT,2022-02-16 09:10:21.908000+01:00
12,NOT_PRESENT,2022-02-16 09:10:50.041000+01:00
13,PRESENT,2022-02-16 12:53:41.348000+01:00
14,NOT_PRESENT,2022-02-16 12:54:44.474000+01:00
15,PRESENT,2022-02-16 12:55:11.054000+01:00
16,NOT_PRESENT,2022-02-16 14:45:29.790000+01:00
17,PRESENT,2022-02-16 17:54:25.974000+01:00
18,NOT_PRESENT,2022-02-16 18:24:34.306000+01:00
0,PRESENT,2022-02-17 11:14:30.008000+01:00
1,NOT_PRESENT,2022-02-17 11:33:31.260000+01:00
0,PRESENT,2022-02-18 18:20:31.324000+01:00
1,NOT_PRESENT,2022-02-18 18:32:57.041000+01:00
0,PRESENT,2022-02-19 10:31:43.326000+01:00
1,NOT_PRESENT,2022-02-19 18:34:28.221000+01:00
2,PRESENT,2022-02-19 18:34:35.630000+01:00
0,NOT_PRESENT,2022-02-20 08:39:08.854000+01:00
1,PRESENT,2022-02-20 08:39:40.239000+01:00
2,NOT_PRESENT,2022-02-20 11:45:43.899000+01:00
3,PRESENT,2022-02-20 13:40:16.900000+01:00
4,NOT_PRESENT,2022-02-20 14:35:44.151000+01:00
5,PRESENT,2022-02-20 14:36:00.854000+01:00
6,NOT_PRESENT,2022-02-20 15:04:39.120000+01:00
7,PRESENT,2022-02-20 15:54:45.256000+01:00
0,NOT_PRESENT,2022-02-21 07:47:30.717000+01:00
1,PRESENT,2022-02-21 07:47:51.135000+01:00
2,NOT_PRESENT,2022-02-21 08:44:12.745000+01:00
3,PRESENT,2022-02-21 09:03:57.364000+01:00
4,NOT_PRESENT,2022-02-21 09:07:04.360000+01:00
5,PRESENT,2022-02-21 09:07:14.446000+01:00
6,NOT_PRESENT,2022-02-21 09:13:00.688000+01:00
7,PRESENT,2022-02-21 09:30:48.046000+01:00
8,NOT_PRESENT,2022-02-21 13:36:06.776000+01:00
9,PRESENT,2022-02-21 13:36:17.638000+01:00
10,NOT_PRESENT,2022-02-21 15:53:51.267000+01:00
11,PRESENT,2022-02-21 15:54:32.106000+01:00
0,NOT_PRESENT,2022-02-21 20:41:44.651000+01:00
1,PRESENT,2022-02-21 20:41:46.893000+01:00
2,NOT_PRESENT,2022-02-22 08:27:30.981000+01:00
3,PRESENT,2022-02-22 08:27:44.756000+01:00
4,NOT_PRESENT,2022-02-22 09:57:25.306000+01:00
5,PRESENT,2022-02-22 10:31:51.183000+01:00
6,NOT_PRESENT,2022-02-22 11:47:57.123000+01:00
7,PRESENT,2022-02-22 11:48:19.173000+01:00
8,NOT_PRESENT,2022-02-22 13:45:26.243000+01:00
9,PRESENT,2022-02-22 13:45:46.915000+01:00
10,NOT_PRESENT,2022-02-22 14:50:11.012000+01:00
11,PRESENT,2022-02-22 15:47:53.572000+01:00
12,NOT_PRESENT,2022-02-22 18:17:19.220000+01:00
13,PRESENT,2022-02-22 18:20:21.860000+01:00
14,NOT_PRESENT,2022-02-22 18:51:32.557000+01:00
15,PRESENT,2022-02-22 18:51:41.261000+01:00
16,NOT_PRESENT,2022-02-22 19:05:28.108000+01:00
17,PRESENT,2022-02-22 19:26:38.417000+01:00
0,NOT_PRESENT,2022-02-23 09:31:10.949000+01:00
1,PRESENT,2022-02-23 09:31:23.323000+01:00
2,NOT_PRESENT,2022-02-23 10:52:03.666000+01:00
3,PRESENT,2022-02-23 11:03:44.929000+01:00
4,NOT_PRESENT,2022-02-23 12:31:34.453000+01:00
5,PRESENT,2022-02-23 12:31:52.101000+01:00
6,NOT_PRESENT,2022-02-23 12:32:38.247000+01:00
7,PRESENT,2022-02-23 12:52:25.899000+01:00
8,NOT_PRESENT,2022-02-23 17:16:13.713000+01:00
9,PRESENT,2022-02-23 17:42:31.351000+01:00
0,NOT_PRESENT,2022-02-24 12:07:25.187000+01:00
1,PRESENT,2022-02-24 15:39:28.902000+01:00
2,NOT_PRESENT,2022-02-24 18:12:46.199000+01:00
0,PRESENT,2022-02-25 09:50:46.718000+01:00
1,NOT_PRESENT,2022-02-25 09:52:40.541000+01:00
2,PRESENT,2022-02-25 10:01:48.083000+01:00
3,NOT_PRESENT,2022-02-25 10:48:32.554000+01:00
4,PRESENT,2022-02-25 10:48:36.701000+01:00
5,NOT_PRESENT,2022-02-25 10:56:35.076000+01:00
6,PRESENT,2022-02-25 16:14:41.183000+01:00
7,NOT_PRESENT,2022-02-25 17:19:06.951000+01:00
0,PRESENT,2022-02-26 11:16:14.973000+01:00
1,NOT_PRESENT,2022-02-26 16:19:52.150000+01:00
2,PRESENT,2022-02-26 16:33:02.489000+01:00
3,NOT_PRESENT,2022-02-26 16:40:06.301000+01:00
4,PRESENT,2022-02-26 16:53:18.884000+01:00
5,NOT_PRESENT,2022-02-26 17:11:22.291000+01:00
6,PRESENT,2022-02-26 17:31:31.207000+01:00
